股票简称,股票代码,占流通A股比例,救市买入（万股）,最新市值（亿元）,成本（亿元）,浮盈（亿元）
爱普股份,603020,0.39,15.77,0.07,0.08,0
绿盟科技,300369,1.69,173.33,0.76,0.76,0
精锻科技,300258,1.32,329.88,0.5,0.5,0
中原环保,000544,0.76,204.75,0.34,0.35,0
香江控股,600162,0.8,610.88,0.48,0.49,0
海伦钢琴,300329,2.93,200.96,0.51,0.51,0
熊猫金控,600599,0.86,108.12,0.32,0.32,0
大连电瓷,002606,0.13,104.35,0.08,0.08,0
连云港,601008,0.13,104.35,0.08,0.08,0
三江购物,601116,0.63,259.63,0.27,0.27,0
毅昌股份,002420,1.56,602.25,0.54,0.54,0
地尔汉字,300403,2.57,87.25,0.41,0.41,0
翠微股份,603123,1.42,437.59,0.46,0.46,0
黔源电力,002039,1.07,326.37,0.56,0.56,0
福建金森,002679,1.37,190.55,0.4,0.4,0
银禧科技,300221,0.28,112.65,0.12,0.12,0
常铝股份,002160,0.55,178.99,0.2,0.2,0
深纺织A,000045,0.71,285.97,0.36,0.36,0
华东重机,002685,1.16,648.77,0.66,0.66,0
大通燃气,000593,0.33,72.8,0.08,0.08,0
丽江旅游,002033,1.03,435.07,0.63,0.63,0
瑞丰高材,300243,2.79,372.87,0.57,0.57,0
豫能控股,001896,0.6,258.39,0.35,0.35,0
汇洁股份,002763,0.61,33.21,0.12,0.11,0
金山开发,600679,1.25,226.66,0.37,0.37,0
北特科技,603009,0.7,24.2,0.08,0.07,0
宏昌电子,603002,0.2,79.53,0.08,0.08,0
星期六,002291,0.43,156.55,0.21,0.21,0
三诺生物,300298,1.93,203.2,0.75,0.75,0
瑞丰光电,300241,2.05,328.33,0.43,0.43,0
英飞拓,002528,0.35,178.46,0.21,0.2,0
世荣兆业,002016,0.26,167.65,0.19,0.19,0
广百股份,002187,1.11,371.15,0.6,0.59,0
中飞股份,300489,1.27,14.36,0.11,0.1,0
银河磁体,300127,1.53,338.81,0.48,0.48,0
乾照光电,300102,1.22,440.35,0.38,0.38,0
埃斯顿,002747,0.85,25.62,0.15,0.14,0
烯碳新材,000511,3.51,4047.87,3.61,3.6,0
安科瑞,300286,0.87,72.73,0.18,0.18,0
星徽精密,300464,0.71,14.69,0.06,0.06,0
鲁亿通,300423,0.92,20.24,0.08,0.07,0
同大股份,300321,1.83,81.25,0.58,0.58,0
华通医药,002758,1.16,16.28,0.1,0.1,0
友邦吊顶,002718,1.15,24.03,0.12,0.11,0.01
华铁科技,603300,0.64,32.49,0.09,0.09,0.01
金禾实业,002597,0.32,175.07,0.21,0.2,0.01
西部建设,002302,1.77,479.38,0.87,0.86,0.01
阳谷华泰,300121,1.93,265.77,0.29,0.29,0.01
凤形股份,002760,2.38,52.44,0.2,0.19,0.01
华东医药,000963,0.97,420.62,3.19,3.18,0.01
迪瑞医疗,300396,3.62,155.05,0.73,0.72,0.01
西部黄金,601069,0.39,49.75,0.09,0.08,0.01
宝德股份,300023,0.8,39.86,0.12,0.11,0.01
法因数控,002270,2.37,330.66,0.53,0.53,0.01
申通地铁,600834,0.39,185.77,0.35,0.34,0.01
易世达,300125,7.29,564.83,1.61,1.6,0.01
杭州高新,300478,2.57,42.81,0.21,0.2,0.01
北化股份,002246,1.26,521.42,0.65,0.64,0.01
模塑科技,000700,0.43,133.61,0.26,0.25,0.01
鲁阳节能,002088,1.55,206.46,0.28,0.27,0.01
新莱应材,300260,3.56,168.06,0.43,0.42,0.01
浩宁达,002356,0.16,38.34,0.1,0.09,0.01
大豪科技,603025,0.4,20.5,0.09,0.08,0.01
鸿路钢构,002541,2.08,343.02,0.59,0.58,0.01
新野纺织,002087,0.33,171.14,0.13,0.12,0.01
全柴动力,600218,0.25,70.38,0.08,0.07,0.01
烽火通信,600498,1.95,1881.27,4.71,4.7,0.01
茂硕电源,002660,0.95,172.59,0.22,0.21,0.01
王子新材,002735,5.49,109.82,0.41,0.39,0.01
天海投资,600751,0.86,333.32,0.35,0.34,0.01
粤传媒,002181,0.73,827.76,1.01,0.99,0.01
仙坛股份,002746,1.57,62.42,0.21,0.2,0.01
森远股份,300210,2.76,317.98,0.52,0.51,0.01
江苏舜天,600287,0.31,133.81,0.16,0.15,0.01
慈星股份,300307,0.57,453.44,0.63,0.62,0.01
彭杰股份,002634,1.31,92.12,0.23,0.22,0.01
天孚通信,300394,1.12,17.14,0.13,0.12,0.01
日照港,600017,3.52,10833.62,8.11,8.1,0.01
金莱特,002723,2.4,146.87,0.29,0.27,0.01
华纺股份,600448,0.95,380.83,0.33,0.32,0.01
亚夏汽车,002607,0.46,113.87,0.13,0.11,0.01
博云新材,002297,1.3,472.89,0.71,0.7,0.01
蓝星新材,600299,0.38,200.1,0.36,0.35,0.02
冀凯股份,002691,1.39,276.33,0.49,0.47,0.02
南华仪器,300417,1.63,16.65,0.13,0.11,0.02
石油济柴,000617,0.23,65.52,0.09,0.08,0.02
东方日升,300118,2.31,911.76,1.18,1.16,0.02
岷江水电,600131,1,396.57,0.36,0.35,0.02
雪浪环境,300385,3,131.01,0.56,0.54,0.02
国脉科技,002093,0.24,205.86,0.31,0.29,0.02
威华股份,002240,0.32,117.42,0.15,0.13,0.02
真视通,002771,0.67,13.39,0.11,0.09,0.02
九洲电气,300040,0.91,181.05,0.21,0.19,0.02
亿通科技,300211,2.75,250.97,0.45,0.43,0.02
焦点科技,002315,3.93,237.22,1.87,1.85,0.02
新宙邦,300037,3.71,403.46,1.39,1.37,0.02
精功科技,002006,0.49,213.29,0.22,0.2,0.02
闽东电力,000993,1.29,481.33,0.46,0.44,0.02
耐威科技,300456,2.82,59.3,0.61,0.59,0.02
汇川科技,300124,2.37,1473.83,6.75,6.73,0.02
坚瑞消防,300116,0.87,211.64,0.19,0.17,0.02
韩建河山,603616,1.1,40.21,0.16,0.14,0.02
裕兴股份,300305,3.29,206.9,0.49,0.46,0.02
福晶科技,002222,1.34,373.9,0.61,0.58,0.02
佳创视讯,300264,2.34,400.13,0.61,0.58,0.02
钢研高纳,300034,2.07,662.29,1.86,1.84,0.02
丰林集团,601996,0.79,372.71,0.37,0.35,0.02
华意压缩,000404,0.87,431.59,0.36,0.34,0.02
科新机电,300092,1.2,182.08,0.25,0.22,0.02
首商股份,600723,0.76,501.28,0.51,0.49,0.02
贵研铂业,600459,0.73,190.94,0.36,0.33,0.02
浩物股份,000757,1.16,362.78,0.37,0.35,0.03
温州宏丰,300283,2.76,352.13,0.4,0.38,0.03
金雷风电,300443,3.74,42.09,0.56,0.53,0.03
天汽模,002510,1.48,470.83,0.56,0.53,0.03
泰胜风能,300129,1.16,538.86,0.46,0.43,0.03
兄弟科技,002562,0.67,72.63,0.15,0.12,0.03
福星股份,000926,5.44,2883.5,3.62,3.59,0.03
旷达科技,002516,2.5,680.25,0.9,0.87,0.03
华丽家族,600503,0.9,1406.4,1.93,1.9,0.03
青龙管业,002457,2.48,649.96,0.84,0.81,0.03
楚天科技,300358,4.61,338.63,1.27,1.24,0.03
迦南科技,300412,3.4,100.34,0.43,0.4,0.03
和顺电气,300141,0.56,59.62,0.15,0.12,0.03
北新路桥,002307,1.24,692.11,0.82,0.78,0.03
报喜鸟,002154,1.08,1158.76,0.93,0.9,0.03
徐家汇,002561,1.34,517.24,0.77,0.74,0.03
台基股份,300046,2.42,296.95,0.56,0.52,0.04
新疆浩源,002700,1.24,500.63,0.68,0.65,0.04
兰太实业,600328,0.76,273.2,0.38,0.34,0.04
汇通能源,600605,1.35,198.73,0.37,0.33,0.04
太阳电缆,002300,1.33,599.41,0.66,0.62,0.04
潍柴重机,000880,1.7,229.91,0.36,0.32,0.04
中颖电子,300327,1.36,231.02,0.47,0.43,0.04
华鑫股份,600621,0.56,291.3,0.39,0.36,0.04
乐凯新材,300446,3.82,58.78,0.63,0.59,0.04
南通锻压,300280,3.14,150.78,0.36,0.32,0.04
苏泊尔,002032,0.73,340.28,0.88,0.84,0.04
全信股份,300447,1.52,30.81,0.27,0.23,0.04
汇金股份,300368,6.08,464.51,1.07,1.03,0.04
科恒股份,300340,2.93,235.01,0.62,0.58,0.04
中海科技,002401,1.4,419.39,0.79,0.75,0.04
运达科技,300440,0.9,25.32,0.2,0.16,0.04
清水源,300437,1.85,30.82,0.24,0.2,0.04
泰和新材,002254,1.03,631.29,1.02,0.98,0.04
天茂集团,000627,0.27,371.1,0.37,0.33,0.04
金杯电工,002533,2.2,1100.95,1,0.96,0.04
智云股份,300097,1.13,90.28,0.34,0.29,0.04
中国国贸,600007,0.27,275.33,0.41,0.37,0.04
生益科技,600183,2.96,4254.88,3.55,3.5,0.05
通产丽星,002243,1.42,439.69,0.52,0.47,0.05
三五互联,300051,1.14,240.94,0.43,0.38,0.05
星星科技,300256,1.89,249.41,0.5,0.46,0.05
创意信息,300366,1.53,54.67,0.27,0.22,0.05
光迅科技,002281,1.57,255.65,1.16,1.11,0.05
晨光生物,300138,1.78,245.34,0.44,0.39,0.05
渝开发,000514,0.48,402.08,0.39,0.34,0.05
赞宇科技,002637,3.24,367.81,0.73,0.68,0.05
联明股份,603006,2.81,96.89,0.4,0.35,0.05
特发信息,000070,0.52,135.63,0.36,0.31,0.05
金轮股份,002722,2.8,128.2,0.35,0.3,0.05
永利带业,300230,2.28,240.99,0.43,0.38,0.05
雅百特,002323,1.65,138.11,0.47,0.41,0.05
兰生股份,600826,3.85,1618.75,4.59,4.54,0.05
日海通讯,002313,2.47,769.49,1.14,1.09,0.05
华虹计通,300330,1.85,310.26,0.53,0.48,0.05
九安医疗,002432,0.23,84.28,0.24,0.19,0.06
智慧农业,000816,3.93,4276.72,3.7,3.64,0.06
中电环保,300172,1,227.25,0.39,0.33,0.06
互动娱乐,300043,1.26,974.22,1.56,1.51,0.06
安硕信息,300380,4.27,206.12,1.58,1.52,0.06
新皇浦,600638,1.54,862.59,1.18,1.12,0.06
凯发电气,300407,4.81,163.52,0.6,0.54,0.06
高盟新材,300200,1.17,237.1,0.35,0.29,0.06
浙江美大,002677,3.57,357.37,0.73,0.67,0.06
中泰化学,002092,3.11,3866.45,3.24,3.18,0.06
苏试试验,300416,7.02,110.18,0.77,0.71,0.06
江中药业,600750,2.52,756.52,2.92,2.86,0.06
深深宝A,000019,1.06,266.34,0.4,0.36,0.06
蓝光发展,600466,0.75,329.87,0.41,0.35,0.06
兴民钢圈,002355,2.14,731.73,0.69,0.62,0.06
长高集团,002452,1.59,577.77,0.53,0.46,0.07
特尔佳,002213,1.98,285.81,0.46,0.4,0.07
鹏辉能源,300438,1.17,24.66,0.21,0.14,0.07
保龄宝,002286,1.67,445.15,0.65,0.58,0.07
中工国际,002051,1.64,1251.72,3.06,2.99,0.07
东北电气,000585,13.6,828.18,0.53,0.47,0.07
珠江钢琴,002678,0.99,348.35,1.62,1.55,0.07
悦心健康,002162,0.23,143.06,0.2,0.13,0.07
深天地A,000023,0.65,90.31,0.28,0.2,0.07
亚通股份,600692,0.96,245.69,0.4,0.33,0.07
中科曙光,603019,1.91,143.47,1.21,1.13,0.07
亚宝药业,600351,4.26,2693.69,3.76,3.68,0.07
科泰电源,300153,1.09,169.16,0.27,0.2,0.08
安纳达,002136,1.31,279.89,0.39,0.32,0.08
燕京啤酒,000729,4.91,12313.16,10.9,10.82,0.08
三爱富,600636,3.21,1224.25,1.97,1.89,0.08
汇中股份,300371,5.04,178.81,0.51,0.43,0.08
金自天正,600560,0.94,210.53,0.42,0.34,0.08
广弘控股,000529,0.52,296,0.42,0.33,0.08
哈尔斯,002615,2.44,251.25,0.52,0.44,0.08
仙琚制药,002332,2.64,1232.66,1.79,1.71,0.08
哈高科,600095,1.01,365.73,0.42,0.33,0.08
江海股份,002484,1.31,402.25,0.84,0.75,0.08
国祯环保,300388,1.19,98.02,0.33,0.24,0.09
飞力达,300240,2.34,569.95,0.94,0.85,0.09
南京港,002040,1.77,434.56,0.66,0.57,0.09
德美化工,002054,1.2,379.26,0.47,0.38,0.09
重庆水务,601158,2.88,13828.34,14.09,14,0.09
正业科技,300410,2.61,39.17,0.29,0.2,0.09
北京君正,300223,2.96,288.47,0.85,0.75,0.09
东方钽业,000962,2.91,1282.73,1.56,1.47,0.1
津膜科技,300334,1.13,291.63,0.75,0.65,0.1
赛象科技,002337,1.28,725.05,0.82,0.72,0.1
瑞泰科技,002066,2.72,627.89,1.44,1.34,0.1
北京科锐,002350,2.04,445.88,0.86,0.76,0.1
华邦健康,002004,1.05,1310.55,1.79,1.69,0.1
汉森制药,002412,0.99,283.56,0.68,0.58,0.1
史丹利,002588,2.2,773.43,2,1.9,0.1
杉杉股份,600884,4.26,1748.1,5.02,4.92,0.1
号百控股,600640,2.57,1374.91,3.07,2.96,0.11
汤臣倍健,300146,2.69,908.71,3.15,3.04,0.11
天顺风能,002531,0.92,751.38,0.97,0.86,0.11
东软集团,600718,2.99,3670.56,6.6,6.49,0.11
罗平锌电,002114,4.52,389.68,0.66,0.55,0.11
三变科技,002112,1.33,240.27,0.46,0.35,0.11
全志科技,300458,5.1,203.91,1.74,1.62,0.12
重庆燃气,600917,25.6,3994.05,4.96,4.84,0.12
燕塘乳业,002732,5.58,219.55,0.74,0.63,0.12
蓝色光标,300058,1.66,2327.88,3.33,3.21,0.12
云南盐化,002053,1.45,269.36,0.74,0.62,0.12
乐金健康,300247,0.95,159.07,0.34,0.21,0.12
万里扬,002434,1.09,543.54,0.94,0.81,0.12
神奇制药,600613,1.47,259.91,0.58,0.46,0.13
新研股份,300159,1.86,1069.07,1.92,1.79,0.13
重庆港九,600279,0.82,279.01,0.46,0.33,0.13
三垒股份,002621,4.3,241.63,0.57,0.44,0.14
汉王科技,002362,1.35,238.56,0.71,0.58,0.14
银河电子,002519,1.06,464.64,1.03,0.9,0.14
创业软件,300451,5.65,95.97,1.72,1.59,0.14
西藏城投,600773,4.35,2349.7,4.07,3.93,0.14
深深房A,000029,0.52,464.34,0.63,0.48,0.15
神思电子,300479,2.91,58.27,0.5,0.35,0.15
桑德环境,000826,4.08,3431.87,13.14,13,0.15
深华发A,000020,2.07,133.62,0.42,0.26,0.15
永清环保,300187,0.92,182.51,0.76,0.6,0.15
利达光电,002189,2.75,545.79,1.41,1.25,0.15
凯瑞德,002072,2.32,409.13,0.84,0.68,0.16
华业资本,600240,4.13,5887.31,8.39,8.23,0.16
快乐购,300413,3.44,240.73,1.09,0.93,0.16
天兴仪表,000710,1.24,188.03,0.51,0.34,0.16
威尔泰,002058,2.19,314.75,0.7,0.54,0.16
宝莱特,300246,3.9,415.45,1.42,1.25,0.17
智慧松德,300173,2.12,521.23,0.98,0.8,0.18
初灵信息,300250,5.01,221.64,1.27,1.09,0.18
天玑科技,300245,1.54,268.44,0.75,0.56,0.19
仟源医药,300254,2.19,229.39,0.83,0.64,0.19
东方通,300379,3.18,186.5,1.34,1.15,0.19
中关村,000931,4.52,2988.36,3.3,3.1,0.2
中原特钢,002423,1.16,541.15,0.92,0.71,0.22
天赐材料,002709,3.03,172.59,0.84,0.62,0.22
晟光文具,603899,22.93,1374.47,5.66,5.43,0.22
任子行,300311,1.95,256.81,1.07,0.83,0.23
永辉超市,601933,4.05,12437.05,13.62,13.39,0.23
梅雁吉祥,600868,0.39,736.02,0.63,0.4,0.23
宁波精达,603088,4.69,93.85,0.61,0.37,0.24
兰石重装,603169,13.33,2133.61,4.18,3.94,0.24
奥特迅,002227,1.23,267.19,1.04,0.79,0.24
恒华科技,300365,3.97,228.55,0.84,0.59,0.25
新华联,000620,4.25,6797.14,7.48,7.23,0.25
广日股份,600894,3.49,3002,5.6,5.35,0.26
雅化集团,002497,1.63,1157.78,1.1,0.83,0.27
南洋科技,002389,1.5,588.95,1.19,0.92,0.27
长江传媒,600757,3,3647.02,3.99,3.72,0.27
兴蓉环境,000598,4.8,14321.72,11.27,11,0.27
创业环保,600874,4.86,5287.44,5.91,5.63,0.28
贝因美,002570,1.07,1092.6,2.03,1.74,0.29
晋亿实业,601002,2.63,1943.4,2.51,2.22,0.29
*ST融捷,002192,4.88,558.78,1.74,1.44,0.29
置信电气,600517,4.44,4938.8,6.4,6.11,0.3
沧州明珠,002108,1.19,688.04,1.26,0.95,0.3
江山股份,600389,3.67,726.45,2.05,1.74,0.31
大众公用,600635,2.13,5254.5,4.68,4.36,0.31
银信科技,300231,3.25,831.03,1.8,1.48,0.32
外运发展,600270,3.96,3587.65,9.45,9.13,0.33
浙报传媒,600633,3.13,3553.1,6.4,6.07,0.33
新嘉联,002188,2.9,434.75,1.44,1.1,0.35
信息发展,300469,6.63,110.76,1.06,0.7,0.36
济川药业,600566,11.19,1919.1,4.88,4.52,0.36
鹏博士,600804,3.08,4187.53,10.79,10.43,0.36
西藏矿业,000762,3.27,1557.95,2.69,2.32,0.37
东港股份,002117,1.9,686.38,2.35,1.97,0.39
豫园商城,600655,4.02,5780.09,9.93,9.54,0.39
华发股份,600325,6.89,5631.39,8.84,8.45,0.39
卧龙电气,600580,4.09,2810.76,4.42,4.01,0.4
惠而浦,600983,4.3,2291.7,3.41,2.99,0.42
巨化股份,600160,0.99,1790.4,2.4,1.98,0.42
百联股份,600827,4.67,7206.14,14.04,13.61,0.43
上海梅林,600073,3.41,2803.92,3.66,3.22,0.43
康得新,002450,1.43,2050.44,7.33,6.9,0.43
生意宝,002095,0.95,237.67,1.74,1.29,0.44
千山药机,300216,3.55,927.66,4.42,3.96,0.45
华东电脑,600850,3.48,1120.65,5.75,5.29,0.46
广晟有色,600259,2.77,691.95,3.35,2.89,0.46
海天味业,603288,18.37,4948.04,16.8,16.33,0.47
禾欣股份,002343,2.65,405.27,1.67,1.16,0.51
深圳华强,000062,3.78,2519.47,11.37,10.85,0.52
科力远,600478,3.26,2773,5.1,4.55,0.55
石基信息,002153,3.68,600.36,6.89,6.3,0.59
新世界,600628,2.99,1590.17,2.93,2.32,0.61
佛山照明,000541,3.16,3079.9,3.95,3.33,0.62
新希望,000876,3.61,6231.61,11.83,11.21,0.63
凤凰传媒,601928,3.61,6231.61,11.83,11.21,0.63
晨鸣纸业,000488,6.77,7484.74,6.71,6.06,0.65
重庆百货,600729,3.27,1215.56,3.94,3.28,0.66
中核科技,000777,2.65,1015.26,3.62,2.95,0.67
北部湾港,000582,11.92,1683.19,4.09,3.41,0.68
健康元,600380,2.49,3847.92,5.79,5.09,0.7
氯碱化工,600618,3.95,2963.39,4.12,2.27,0.74
潜能恒信,300191,1.47,304.31,1.34,0.53,0.81
中国宝安,000009,1.88,2805.09,4.49,3.66,0.83
中国软件,600536,3.05,1478.84,5.31,4.48,0.83
海欣股份,600851,6.68,4930.98,5.94,5.07,0.87
轻纺城,600790,1.12,1170.85,0.88,0,0.88
城投控股,600649,3.18,9515.58,13.51,12.61,0.9
大连港,601880,3.93,13233.88,9.18,8.28,0.91
上海机场,600009,7.03,7685,23.22,22.28,0.95
中海发展,600026,4.41,12055.92,13.36,12.4,0.96
华工科技,000988,3.92,3494.63,6.2,5.21,0.99
外高桥,600648,4.35,4072.16,11.61,10.61,1
中远航运,600428,2.86,4834.72,6.89,5.86,1.03
华远地产,600743,3.95,7180.23,5.7,4.65,1.05
江淮汽车,600418,5.15,4274.84,6.87,5.82,1.06
中航动控,000738,3.9,4471.98,15.25,14.13,1.12
华泽钴镍,000693,2.57,657.3,1.13,0,1.13
大众交通,600611,4.42,4604.66,7.37,6.15,1.22
苏宁云商,002024,1.46,7323.19,11.91,10.65,1.26
通化东宝,600867,2.83,3206.42,8.18,6.79,1.39
宇通客车,600066,4.59,8738,19.15,17.72,1.43
天齐锂业,002466,3.87,638.56,5.2,3.73,1.47
宁波港,601018,2.17,27782.84,22.67,21.19,1.48
皖新传媒,601801,3.6,3274.89,9.97,8.42,1.55
浦东金桥,600639,5.42,3558.8,8.9,7.11,1.79
同花顺,300033,6.15,1611.29,13.96,12.03,1.94
比亚迪,002594,2.77,2087.34,14.01,11.52,2.49
中国中冶,601618,2.4,39006.57,30.39,27.72,2.67
陆家嘴,600663,4.4,5974.46,30.05,27.37,2.68
宗申动力,001696,1.97,1746.16,2.71,0,2.71
达安基因,002030,3.59,2283.39,10.28,7.41,2.88
中海集运,601866,3.29,26076.91,22.77,19.68,3.09
五矿发展,600058,2.99,3205.08,11.96,8.7,3.26
万向钱潮,000559,3.94,9015.74,20.2,16.8,3.39
恒瑞医药,600276,2.16,4210.3,22.13,18.65,3.48
中国远洋,601919,3.08,23534.81,27.37,22.96,4.41
华闻传媒,000793,2.88,4828.32,5.46,0,5.46
河北钢铁,000709,2.99,31749.76,10.32,0,10.32